doc_id,document_link,cleaned_filer_names,member_name,state,party,year,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,country_is_donor,page_count,member_id,traveler_is_likely_member,district,filing_type,dom_or_int,notes
500027007,https://www.documentcloud.org/documents/24389556-500027007,John Lynch,"Costa, Jim",CA,D,2023,2023-08-27,2023-09-02,7,The Atlantic Council,Lithuania; Poland,yes,NA,NA,NA,NA,NA,NA,NA
500027035,https://www.documentcloud.org/documents/24389580-500027035,Christopher Ringer,"Duncan, Jeff",SC,R,2023,2023-08-27,2023-09-02,7,The Atlantic Council,Lithuania; Poland,yes,NA,NA,NA,NA,NA,NA,NA
500027045,https://www.documentcloud.org/documents/24389590-500027045,Leslie Shedd,"McCaul, Michael",TX,R,2023,2023-08-27,2023-09-02,7,The Atlantic Council,Lithuania; Poland,yes,NA,NA,NA,NA,NA,NA,NA
500027051,https://www.documentcloud.org/documents/24389596-500027051,Jordan Dickinson,"Kildee, Daniel",MI,D,2023,2023-08-27,2023-09-02,7,The Atlantic Council,Lithuania; Poland,yes,NA,NA,NA,NA,NA,NA,NA
500020253,https://www.documentcloud.org/documents/24138592-500020253,Rachel Huggins,"Burgess, Michael",TX,R,2018,2018-08-25,2018-09-01,8,The Atlantic Council,"Kharkiv, Ukraine; Kyiv, Ukraine",no,NA,NA,NA,NA,NA,NA,NA
500020264,https://www.documentcloud.org/documents/24138581-500020264,Corey Jacobson,"Lieu, Ted",CA,D,2018,2018-08-25,2018-09-01,8,The Atlantic Council,"Kharkiv, Ukraine; Kyiv, Ukraine",no,NA,NA,NA,NA,NA,NA,NA
500020266,https://www.documentcloud.org/documents/24138579-500020266,Nicholas O'Boyle,"Estes, Ron",KS,R,2018,2018-08-25,2018-09-01,8,The Atlantic Council,"Kharkiv, Ukraine; Kyiv, Ukraine",no,NA,NA,NA,NA,NA,NA,NA
500020277,https://www.documentcloud.org/documents/24138568-500020277,Sergio A. Espinosa,"Green, Gene",TX,D,2018,2018-08-25,2018-09-04,11,The Atlantic Council,"Kharkiv, Ukraine; Kyiv, Ukraine",no,NA,NA,NA,NA,NA,NA,NA
500020285,https://www.documentcloud.org/documents/24138560-500020285,Carly Frame,"Boyle, Brendan",PA,D,2018,2018-08-25,2018-09-01,8,The Atlantic Council,"Kharkiv, Ukraine; Kyiv, Ukraine",no,NA,NA,NA,NA,NA,NA,NA
500027064,https://www.documentcloud.org/documents/24389608-500027064,James Dolbow,"Scott, Austin",GA,R,2023,2023-08-27,2023-09-02,7,The Atlantic Council,Lithuania; Poland,yes,NA,NA,NA,NA,NA,NA,NA
500027076,https://www.documentcloud.org/documents/24389619-500027076,Kevin Diamond,"Blunt Rochester, Lisa",DE,D,2023,2023-08-27,2023-09-01,6,The Atlantic Council,Lithuania; Poland,yes,NA,NA,NA,NA,NA,NA,NA
500027081,https://www.documentcloud.org/documents/24389624-500027081,Rolando Hernandez,"Green, Mark",TN,R,2023,2023-08-27,2023-09-02,7,The Atlantic Council,Lithuania; Poland,yes,NA,NA,NA,NA,NA,NA,NA
