doc_id,document_link,page_count,cleaned_filer_names,member_name,member_id,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,country_is_donor,notes
500011629,https://www.documentcloud.org/documents/24148165-500011629,13,Yuri Beckelman,"Takano, Mark",T000472,FALSE,CA,39,D,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Ciudad Juarez, Mexico; Mexico City, Mexico",international,no,NA
500011630,https://www.documentcloud.org/documents/24148164-500011630,19,Caitie Whelan,"Farr, Sam",F000030,FALSE,CA,20,D,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Juarez, Mexico; Mexico City, Mexico",international,no,NA
500011634,https://www.documentcloud.org/documents/24148160-500011634,17,Jirair Ratevosian,"Lee, Barbara",L000551,FALSE,CA,12,D,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Ciudad Juarez, Mexico; Mexico City, Mexico",international,no,NA
500011637,https://www.documentcloud.org/documents/24148157-500011637,17,Alexander J. Hutkin,"Hartzler, Vicky",H001053,FALSE,MO,4,R,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Ciudad Juarez, Mexico; Mexico City, Mexico",international,no,NA
500011645,https://www.documentcloud.org/documents/24148153-500011645,11,Teresa Acuna,"Negrete McLeod, Gloria",N000187,FALSE,CA,35,D,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Ciudad Juarez, Mexico; Mexico City, Mexico",international,no,NA
500011647,https://www.documentcloud.org/documents/24148152-500011647,14,Aaron Jones,"Rogers, Harold",R000395,FALSE,KY,5,R,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Ciudad Juarez, Mexico; Mexico City, Mexico",international,no,NA
500011659,https://www.documentcloud.org/documents/24148142-500011659,22,Robert Andrew Fitzpatrick,"Owens, William L.",O000169,FALSE,NY,21,D,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Ciudad Juarez, Mexico; Mexico City, Mexico",international,no,NA
500011672,https://www.documentcloud.org/documents/24148130-500011672,13,Jason Suslavich,"Young, Don",Y000033,FALSE,AK,0,R,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Ciudad Juarez, Mexico; Mexico City, Mexico",international,no,NA
500011777,https://www.documentcloud.org/documents/24148054-500011777,17,James Hunter,"Price, David E.",P000523,FALSE,NC,4,D,2014,Original,2014-04-22,2014-04-26,5,Woodrow Wilson Center,"El Paso, TX; Ciudad Juarez, Mexico; Mexico City, Mexico",international,no,NA
500014233,https://www.documentcloud.org/documents/24145419-500014233,16,Lewis Kaminski,"Engel, Eliot L.",E000179,FALSE,NY,16,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,no,NA
