doc_id,document_link,page_count,cleaned_filer_names,member_name,member_id,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500007359,https://www.documentcloud.org/documents/24151741-500007359,15,Sean O'Brien,"Quigley, Mike",Q000023,FALSE,IL,5,D,2012,Original,2012-02-19,2012-02-22,4,German Marshall Fund Of The United States; The Henry Jackson Society,"London, United Kingdom",international,NA
500007495,https://www.documentcloud.org/documents/24151628-500007495,9,Paul Berkowitz,"Rohrabacher, Dana",R000409,FALSE,CA,48,R,2012,Original,2012-03-29,2012-04-02,5,Aspen Institute Germany,"Berlin, Germany",international,NA
500007499,https://www.documentcloud.org/documents/24151625-500007499,18,Earl Blumenauer,"Blumenauer, Earl",B000574,TRUE,OR,3,D,2012,Original,2012-03-30,2012-04-08,10,Aspen Institute,"Sao Paulo, Brazil",international,NA
500007500,https://www.documentcloud.org/documents/24151624-500007500,17,Diana DeGette,"DeGette, Diana",D000197,TRUE,CO,1,D,2012,Original,2012-03-29,2012-04-05,8,Aspen Institute,"Sao Paulo, Brazil",international,NA
500007522,https://www.documentcloud.org/documents/24151604-500007522,26,Jan Schakowsky,"Schakowsky, Janice",S001145,TRUE,IL,9,D,2012,Original,2012-03-30,2012-04-05,7,Aspen Institute,"Sao Paulo, Brazil",international,NA
500007523,https://www.documentcloud.org/documents/24151603-500007523,17,Sam Farr,"Farr, Sam",F000030,TRUE,CA,20,D,2012,Original,2012-03-30,2012-04-05,7,Aspen Institute,"Sao Paulo, Brazil",international,NA
500007528,https://www.documentcloud.org/documents/24151599-500007528,21,Bobby L. Rush,"Rush, Bobby L.",R000515,TRUE,IL,1,D,2012,Original,2012-03-30,2012-04-06,8,Aspen Institute,"Sao Paulo, Brazil",international,NA
500007531,https://www.documentcloud.org/documents/24151596-500007531,20,Henry A. Waxman,"Waxman, Henry A.",W000215,TRUE,CA,33,D,2012,Original,2012-03-29,2012-04-05,8,Aspen Institute,"Sao Paulo, Brazil",international,NA
500007533,https://www.documentcloud.org/documents/24151594-500007533,20,Nick J. Rahall,"Rahall, Nick J.",R000011,TRUE,WV,3,D,2012,Original,2012-03-30,2012-04-05,7,Aspen Institute,"Sao Paulo, Brazil",international,NA
500007537,https://www.documentcloud.org/documents/24151592-500007537,18,Zoe Lofgren,"Lofgren, Zoe",L000397,TRUE,CA,18,D,2012,Original,2012-03-30,2012-04-08,10,Aspen Institute,"Sao Paulo, Brazil",international,NA
