Last,First,count
faleomavaega,eni f.h.,9
sensenbrenner,f. james,7
bordallo,madeleine z.,5
frankel,lois,5
fudge,marcia l.,5
johnson,eddie bernice,5
marchant,kenny,5
payne,donald m.,5
doggett,lloyd,4
kilmer,derek,4
meeks,gregory w.,4
sewell,terri a.,4
bera,ami,3
butterfield,g. k.,3
holding,george,3
johnson,"henry c. ""hank""",3
maloney,carolyn b.,3
mcdermott,jim,3
swalwell,eric,3
vela,filemon,3
bacon,donald john,2
carson,andré,2
carson,andr√©,2
carson,andr√â,2
chu,judy,2
connolly,gerald e.,2
diaz-balart,mario,2
gabbard,tulsi,2
gallego,ruben,2
himes,james a.,2
kinzinger,adam,2
krishnamoorthi,s. raja,2
lahood,darin mckay,2
lujan grisham,michelle,2
lummis,cynthia m.,2
mcintyre,mike,2
moran,james p.,2
norcross,donald w.,2
nunes,devin,2
omar,ilhan,2
pallone,frank,2
panetta,jimmy,2
pingree,chellie,2
rangel,charles b.,2
reed,tom,2
schrader,kurt,2
titus,dina,2
vargas,juan,2
wilson,frederica s.,2
barragan,nanette,1
bass,karen,1
beyer,donald sternoff,1
boustany,charles w.,1
boyle,brendan f.,1
brown,shontel m.,1
byrne,bradley,1
calvert,ken,1
cardoza,dennis a.,1
carson,andre,1
carter,john r.,1
chandler,ben,1
clarke,yvette d.,1
cohen,steve,1
costa,jim m.,1
cummings,elijah e.,1
curbelo,carlos,1
cárdenas,tony,1
deutch,theodore e.,1
dreier,david,1
eshoo,anna g.,1
ferguson,a. drew,1
flores,bill,1
foxx,virginia,1
gingrey,phil,1
gohmert,louie,1
gonzalez,jenniffer,1
gonzalez,vicente,1
gooden,lance,1
griffith,h. morgan,1
guthrie,brett,1
harris,andy,1
heck,denny,1
honda,michael m.,1
israel,steve,1
jeffries,hakeem s.,1
kelly,mike,1
kelly,robin l.,1
kildee,daniel t.,1
kingston,jack,1
kuster,ann m.,1
larsen,rick,1
larson,john b.,1
latta,robert e.,1
lawrence,brenda lulenar,1
lee,barbara,1
lewis,jason mark,1
long,billy,1
lowenthal,alan s.,1
lynch,stephen f.,1
matsui,doris o.,1
mckinley,david b.,1
meehan,patrick,1
miller,candice s.,1
miller-meeks,mariannette jane,1
moore,gwen,1
moulton,seth,1
owens,burgess,1
owens,william l.,1
paulsen,erik,1
petri,thomas e.,1
plaskett,stacey,1
rehberg,dennis r.,1
reschenthaler,guy mr,1
reyes,silvestre,1
rokita,todd,1
roskam,peter j.,1
rouzer,david cheston,1
schakowsky,janice d.,1
schmidt,jean,1
schock,aaron,1
shimkus,john,1
smith,adrian,1
speier,jackie,1
steil,bryan george,1
taylor,scott,1
terry,lee,1
whitfield,ed,1
woolsey,lynn c.,1
